Número do Alimento;Categoria;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
48;Cereais e derivados;Pão, aveia, forma;19,9;343;1435;12,3;5,7;Tr;59,6;6;2,5;108;56;1,08;182;4,7;605;210;0,14;1,7;Tr; ; ;0,09;0,03;0,08;Tr;Tr
49;Cereais e derivados;Pão, de soja;26;308;1291;11,3;3,6;NA;56,5;5,7;2,5;90;48;0,57;153;3,3;662;296;0,16;1,5;NA;;;0,07;0,04;0,79;Tr;Tr
50;Cereais e derivados;Pão, glúten, forma;40,7;252;1058;12;2,7;NA;44,1;2,5;0,5;155;24;0,51;105;5,7;22;64;0,06;1,3;NA;;;0,04;0,03;Tr;Tr;Tr
51;Cereais e derivados;Pão, milho, forma;30,4;292;1221;8,3;3,1;5;56,4;4,3;1,8;77;29;0,37;110;3;506;89;0,1;0,8;Tr;;;0,08;Tr;0,08;Tr;Tr
52;Cereais e derivados;Pão, trigo, forma, integral;34,7;253;1059;9,4;3,7;NA;49,9;6,9;2,3;131;60;1,62;193;3;506;162;0,15;1,6;NA;;;0,08;0,04;0,15;Tr;Tr
53;Cereais e derivados;Pão, trigo, francês;28,5;299;1254;8;3,1;NA;58,6;2,3;1,8;15;25;0,46;94;1;647;142;0,13;0,8;2;;;0,39;0,67;0,6;2,34; 
54;Cereais e derivados;Pão, trigo, sovado;25,8;310;1301;8,4;2,8;16;61,5;2,4;1,5;51;22;0,31;100;2,3;430;91;Tr;2,7;Tr; ; ;0,08;0,04;0,15;Tr;Tr
55;Cereais e derivados;Pastel, de carne, cru;34,4;288;1207;10,7;8,8;18;42;1;4,1;16;17;0,34;117;2;1309;165;0,11;1,7;Tr;;;0,06;0,03;Tr;1,58;Tr
56;Cereais e derivados;Pastel, de carne, frito;22,9;388;1624;10,1;20,1;25;43,8;1;3,1;12;14;0,22;90;2,5;1039;155;0,12;1,1;Tr;;;0,06;0,05;Tr;1,83;
57;Cereais e derivados;Pastel, de queijo, cru;31,3;308;1290;9,9;9,6;14;45,9;1,1;3,3;154;15;0,24;168;1;984;102;0,1;1;Tr;;;0,07;0,03;Tr;Tr;Tr
58;Cereais e derivados;Pastel, de queijo, frito;17,5;422;1766;8,7;22,7;15;48,1;0,9;2,9;126;14;0,2;123;1,3;821;123;0,1;0,8;17;;;0,09;0,04;Tr;Tr;Tr
59;Cereais e derivados;Pastel, massa, crua;27,1;310;1297;6,9;5,5;NA;57,4;1,4;3,2;12;14;0,38;72;1,1;1344;166;0,11;0,6;NA;;;0,15;Tr;Tr;Tr; 
60;Cereais e derivados;Pastel, massa, frita;1;569;2383;6;40,9;NA;49,3;1,3;2,8;11;12;0,36;62;1,4;1174;142;0,08;0,5;NA;;;0,16;Tr;Tr;Tr; 
61;Cereais e derivados;Pipoca, com óleo de soja, sem sal;2,8;448;1875;9,9;15,9;NA;70,3;14,3;1;2;90;0,65;225;1,2;4;255;0,46;2;NA;;;0,03;0,03;Tr;Tr;Tr
62;Cereais e derivados;Polenta, pré-cozida;72,7;102;429;2,3;0,3;NA;23,3;2,4;1,4;1;4;Tr;16;Tr;441;99;0,04;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
63;Cereais e derivados;Torrada, pão francês;9;377;1579;10,5;3,3;NA;74,6;3,4;2,6;18;31;0,55;113;1,2;829;189;0,16;0,9;NA;;;0,38;Tr;Tr;Tr;Tr
64;Verduras;Abóbora, cabotian, cozida;86,4;48;201;1,4;0,7;NA;10,8;2,5;0,7;7;9;0,26;32;0,3;1;199;0,06;0,3;NA;;;0,08;Tr;0,07;Tr;7,5
65;Verduras;Abóbora, cabotian, crua;88,5;38;161;1,7;0,5;NA;8,4;2,2;0,8;17;8;0,11;25;0,4;Tr;350;0,06;0,3;NA;446;223;Tr;Tr;0,1;Tr;5,1
