Número do Alimento;Categoria;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
383;Carnes e derivados;Carne, bovina, picanha, sem gordura, grelhada;54,6;238;997;31,9;11,3;99;0;NA;1,2;4;25;0,02;281;3,6;60;376;0,17;6,7;Tr;Tr;Tr;Tr;0,08;0,03;1,82;
384;Carnes e derivados;Carne, bovina, seca, cozida;47,2;312;1308;26,9;21,9;100;0;NA;4,7;12;11;0,02;82;1,9;1943;86;0,03;7,7;Tr;Tr;Tr;Tr;0,06;Tr;2,32;
385;Carnes e derivados;Carne, bovina, seca, crua;39,2;312;1308;19,7;25,4;91;0;NA;15,3;14;12;0,01;100;1,3;4439;190;Tr;3,7;Tr;Tr;Tr;Tr;0,07;Tr;2,83;
386;Carnes e derivados;Coxinha de frango, frita;42,2;283;1184;9,6;11,8;14;34,5;5;1,8;18;16;0,28;92;1,3;532;166;0,09;0,5;Tr;;;0,09;Tr;Tr;2,6;Tr
387;Carnes e derivados;Croquete, de carne, cru;56;245;1028;12;15,6;29;13,9;;2,5;15;23;0,34;144;2,5;710;221;0,1;2,7;Tr;;;0,11;0,04;Tr;1,95;Tr
388;Carnes e derivados;Croquete, de carne, frito;39,2;346;1450;16,9;22,7;38;18,1;;3,1;18;29;0,39;176;2,3;916;313;0,09;3,3;Tr;;;0,14;0,04;Tr;4,77;Tr
389;Carnes e derivados;Empada de frango, pré-cozida, assada;28,2;358;1498;6,9;15,6;22;47,5;2,2;1,8;15;18;0,32;77;1,2;524;137;0,07;0,6;Tr;;;0,12;Tr;Tr;Tr; 
390;Carnes e derivados;Empada, de frango, pré-cozida;32;377;1579;7,3;22,9;23;35,5;2,2;2,2;13;17;0,25;77;0,7;770;156;0,09;0,5;Tr;;;0,11;Tr;0,03;Tr; 
391;Carnes e derivados;Frango, asa, com pele, crua;67,5;213;891;18,1;15,1;113;0;NA;0,7;10;23;0,01;154;0,6;96;211;0,02;1,2;10;10;10;0,11;0,04;Tr;2,58;
392;Carnes e derivados;Frango, caipira, inteiro, com pele, cozido;59,7;242;1016;23,9;15,6;109;0;NA;0,8;16;18;0,01;161;1,7;56;210;0,08;1,7;16;16;16;0,03;Tr;Tr;6,33;
393;Carnes e derivados;Frango, caipira, inteiro, sem pele, cozido;61,4;195;819;29,6;7,7;105;0;NA;1,1;66;23;0,02;209;2,1;53;223;0,15;2,7;6;6;6;0,03;0,03;Tr;9,2;
394;Carnes e derivados;Frango, coração, cru;69;221;926;12,6;18,6;159;0;NA;0,8;5;19;0,05;193;4,1;95;220;0,2;2;9;9;9;0,23;0,35;Tr;3,39;
395;Carnes e derivados;Frango, coração, grelhado;63,5;207;867;22,4;12,1;280;0,6;NA;1,3;8;20;0,06;275;6,5;128;242;0,3;3,4;Tr;Tr;Tr;0,2;0,19;Tr;9,7;
396;Carnes e derivados;Frango, coxa, com pele, assada;59,8;215;900;28,5;10,4;145;0,1;NA;1,3;8;13;Tr;251;1,2;94;318;0,05;2,6;5;5;5;0,05;0,05;Tr;10,4;
397;Carnes e derivados;Frango, coxa, com pele, crua;72,8;161;675;17,1;9,8;97;0;NA;0,8;8;25;0,02;185;0,7;94;274;0,03;2;10;10;10;0,16;0,05;Tr;2,04;
398;Carnes e derivados;Frango, coxa, sem pele, cozida;66,7;167;700;26,9;5,8;132;0;NA;0,9;11;11;Tr;186;0,8;64;191;0,03;2,8;Tr;Tr;Tr;0,07;Tr;Tr;8,2;
399;Carnes e derivados;Frango, coxa, sem pele, crua;76,4;119;501;17,8;4,9;90;0;NA;0,9;7;27;0,02;196;0,8;98;291;0,03;2,2;11;11;11;0,17;0,05;Tr;3,53;
400;Carnes e derivados;Frango, fígado, cru;77,8;106;445;17,6;3,5;340;0;NA;1,2;5;27;0,35;343;9,5;82;280;0,26;3,7;3863;3863;3863;0,62;0,56;Tr;6,36;
401;Carnes e derivados;Frango, filé, à milanesa;54,9;220;924;28,5;7,8;84;7,5;1,1;1,3;8;34;0,06;249;1,1;122;407;0,05;0,8;6;6;6;0,05;0,04;0,52;11,07;
402;Carnes e derivados;Frango, inteiro, com pele, cru;66,5;226;946;16,4;17,3;84;0;NA;0,7;6;24;0,01;173;0,6;62;217;0,04;1,1;7;7;7;0,08;0,03;Tr;3,28;
403;Carnes e derivados;Frango, inteiro, sem pele, assado;63,2;187;783;28;7,5;110;0;NA;1,2;9;13;Tr;232;0,6;70;283;0,03;1,6;Tr;Tr;Tr;0,09;Tr;Tr;11,2;
404;Carnes e derivados;Frango, inteiro, sem pele, cozido;67,5;170;712;25;7,1;98;0;NA;0,9;8;12;Tr;193;0,5;50;216;0,04;1,2;Tr;Tr;Tr;0,1;Tr;Tr;12,83;
405;Carnes e derivados;Frango, inteiro, sem pele, cru;74,9;129;540;20,6;4,6;78;0;NA;0,9;6;27;0,01;190;0,5;72;237;0,03;1,2;3;3;3;0,12;0,03;Tr;3,28;
406;Carnes e derivados;Frango, peito, com pele, assado;58,5;211;885;33,4;7,6;109;0;NA;1,5;8;18;0,01;297;0,5;55;380;0,01;1;6;6;6;0,12;Tr;Tr;15,8;
407;Carnes e derivados;Frango, peito, com pele, cru;71,9;149;625;20,8;6,7;79;0;NA;0,9;8;28;0,01;212;0,4;62;251;0,05;0,6;4;4;4;0,09;Tr;Tr;2,58;
408;Carnes e derivados;Frango, peito, sem pele, cozido;65,6;162;681;31,5;3,2;88;0;NA;1;6;13;Tr;224;0,3;36;231;0,02;0,9;Tr;Tr;Tr;0,1;Tr;Tr;7,6;
409;Carnes e derivados;Frango, peito, sem pele, cru;74,8;119;498;21,5;3;58;0;NA;1;7;31;0,01;222;0,4;56;267;0,03;0,7;2;2;2;0,1;Tr;Tr;5,86;
410;Carnes e derivados;Frango, peito, sem pele, grelhado;63,8;159;666;32;2,5;89;0;NA;1,4;5;18;Tr;295;0,3;50;387;0,02;0,8;Tr;Tr;Tr;0,11;Tr;Tr;24,83;
411;Carnes e derivados;Frango, sobrecoxa, com pele, assada;55;259;1086;28,7;15,2;158;0;NA;1,3;10;14;Tr;252;1,2;95;323;0,06;2,2;8;8;8;0,1;0,05;Tr;11,2;
412;Carnes e derivados;Frango, sobrecoxa, com pele, crua;63,6;254;1064;15,5;20,9;87;0;NA;0,8;7;21;0,01;154;0,7;68;190;0,05;1,3;6;6;6;0,09;0,06;Tr;3,4;
413;Carnes e derivados;Frango, sobrecoxa, sem pele, assada;55,6;232;974;29,2;12;145;0;NA;1,5;12;17;Tr;281;1,2;106;382;0,07;2,2;10;10;10;0,1;0,05;Tr;10,2;
414;Carnes e derivados;Frango, sobrecoxa, sem pele, crua;72,7;161;676;17,6;9,6;84;0;NA;0,9;6;26;0,02;187;0,9;79;241;0,06;1,7;3;3;3;0,12;0,06;Tr;4,06;
415;Carnes e derivados;Hambúrguer, bovino, cru;63,6;214;898;13,2;16,2;70;4,2;*;2,9;34;24;0,36;140;1,9;869;382;0,16;1,7;Tr;;;0,06;0,08;0,04;3,53;
416;Carnes e derivados;Hambúrguer, bovino, frito;52,5;258;1080;20;17;48;6,3;*;4,2;62;59;0,52;324;3;1251;660;0,17;3,2;Tr;;;0,13;0,06;Tr;2,73;
417;Carnes e derivados;Hambúrguer, bovino, grelhado;59,2;209;877;13,2;12,4;58;11,3;*;3,9;56;47;0,4;262;2,6;1090;537;0,18;3;Tr;;;0,18;0,06;Tr;5,77;
418;Carnes e derivados;Lingüiça, frango, crua;64,8;218;912;14,2;17,4;64;0;NA;3,3;10;18;0,05;181;0,5;1125;279;0,05;0,7;Tr;;;0,11;0,05;Tr;4,6;
419;Carnes e derivados;Lingüiça, frango, frita;59,6;245;1027;18,3;18,5;75;0;NA;3,8;15;29;0,1;262;0,8;1373;363;0,04;1,2;Tr;;;0,11;0,05;Tr;5,67;
420;Carnes e derivados;Lingüiça, frango, grelhada;58,6;243;1019;18,2;18,4;80;0;NA;3,8;13;21;0,1;228;0,7;1351;355;0,09;1;Tr;;;0,12;0,04;Tr;5,97;
421;Carnes e derivados;Lingüiça, porco, crua;62,5;227;950;16,1;17,6;52;0;NA;3,2;6;14;0,01;157;0,4;1175;316;0,04;1,4;Tr;;;0,49;0,05;Tr;2,6;
422;Carnes e derivados;Lingüiça, porco, frita;54,6;279;1169;20,5;21,3;74;0;NA;3,9;8;18;0,01;210;0,9;1431;408;0,06;3,1;Tr;;;0,41;0,07;Tr;5,83;
423;Carnes e derivados;Lingüiça, porco, grelhada;50,5;296;1240;23,2;21,9;81;0;NA;4;8;18;0,01;209;1;1455;426;0,07;3,5;Tr;;;0,4;0,07;Tr;6,6;
424;Carnes e derivados;Mortadela;56,4;268;1124;12;21,6;82;5,8;NA;4,1;66;19;0,11;215;1,5;1212;247;0,08;1;24;;;0,14;0,06;Tr;3;
425;Carnes e derivados;Peru, congelado, assado;65,3;163;682;26,2;5,7;91;0;NA;2,2;13;11;0,02;197;0,6;627;175;0,03;1,2;Tr;Tr;Tr;0,06;Tr;Tr;6,23;
426;Carnes e derivados;Peru, congelado, cru;78,2;93;392;18,1;1,8;68;0;NA;2,5;9;18;Tr;216;0,9;710;281;0,36;1,4;Tr;Tr;Tr;0,06;Tr;Tr;4,23;
427;Carnes e derivados;Porco, bisteca, crua;67,7;164;686;21,5;8;56;0;NA;1;6;24;Tr;195;0,5;54;334;0,07;1,4;Tr;Tr;Tr;0,9;Tr;Tr;2,65;
428;Carnes e derivados;Porco, bisteca, frita;47,3;311;1301;33,7;18,5;126;0;NA;1,6;69;29;0,01;289;0,8;63;403;0,07;2,2;9;9;9;0,34;Tr;Tr;3,25;
429;Carnes e derivados;Porco, bisteca, grelhada;51,8;280;1171;28,9;17,4;81;0;NA;1,2;34;24;Tr;229;0,9;51;366;0,06;2,3;Tr;Tr;Tr;0,77;0,14;0,03;1,92;
430;Carnes e derivados;Porco, costela, assada;36,9;402;1682;30,2;30,3;112;0;NA;1,4;16;14;Tr;200;1;62;245;0,07;3,1;Tr;Tr;Tr;0,71;0,05;Tr;10,63;
431;Carnes e derivados;Porco, costela, crua;61,2;255;1069;18;19,8;68;0;NA;0,9;14;17;Tr;159;0,9;87;248;0,05;2,3;Tr;Tr;Tr;0,62;Tr;Tr;8,27;
432;Carnes e derivados;Porco, lombo, assado;56,6;210;879;35,7;6,4;103;0;NA;1,4;19;18;Tr;238;0,5;38;311;0,03;1,8;Tr;Tr;Tr;0,75;0,07;0,11;12,43;
433;Carnes e derivados;Porco, lombo, cru;67,7;175;734;22,6;8,8;55;0;NA;1;4;23;Tr;194;0,5;53;334;0,01;0,9;Tr;Tr;Tr;0,95;Tr;Tr;13,83;
434;Carnes e derivados;Porco, orelha, salgada, crua;59,7;258;1081;18,5;19,9;83;0;NA;2;5;2;0,01;30;1,4;615;228;0,23;0,6;Tr;Tr;Tr;0,07;0,03;Tr;Tr;
435;Carnes e derivados;Porco, pernil, assado;49,3;262;1097;32,1;13,9;109;0;NA;1,4;17;27;0,01;247;1,3;62;395;0,09;3,3;Tr;Tr;Tr;0,77;0,09;Tr;6,57;
436;Carnes e derivados;Porco, pernil, cru;67,1;186;778;20,1;11,1;58;0;NA;1;12;22;Tr;192;0,9;101;255;0,16;1,7;Tr;Tr;Tr;1,06;0,06;Tr;5,67;
437;Carnes e derivados;Porco, rabo, salgado, cru;43,8;377;1579;15,6;34,5;89;0;NA;3,5;21;3;0,01;42;0,6;1157;23;0,05;1,4;Tr;Tr;Tr;0,2;0,06;Tr;1,43;
438;Carnes e derivados;Presunto, com capa de gordura;73,9;127;534;14,4;6,8;39;1,4;NA;3,5;12;17;0,04;273;0,7;1020;294;0,04;1,3;Tr; ; ;0,62;0,03;Tr;3,78;
439;Carnes e derivados;Presunto, sem capa de gordura;77,2;93;392;14,3;2,7;35;2,1;NA;3,7;23;17;0,04;244;0,8;1039;307;0,04;1,5;Tr; ; ;0,5;0,03;Tr;4;
440;Carnes e derivados;Quibe, assado;69;136;569;14,6;2,7;33;12,9;1,9;0,9;15;36;0,76;174;2,2;39;287;0,51;4,1;Tr;;;0,04;0,04;Tr;1,81;Tr
441;Carnes e derivados;Quibe, cru;74,5;109;458;12,4;1,7;26;10,8;1,6;0,7;12;25;0,39;125;1,7;38;241;0,13;2,8;Tr;;;0,09;0,03;Tr;1,2;Tr
442;Carnes e derivados;Quibe, frito;54;253;1062;14,9;15,8;37;12,3;;3;21;38;0,72;165;2;835;322;0,16;2,8;Tr;;;0,12;0,1;Tr;1,5;Tr
443;Carnes e derivados;Salame;34,7;397;1664;25,8;30,6;85;2,9;NA;5,9;87;29;0,03;354;1,3;1574;547;0,05;3,2;Tr;;;0,88;0,23;Tr;12,49;
444;Carnes e derivados;Toucinho, cru;27,6;592;2479;11,5;60,3;73;0;NA;0,3;2;3;Tr;35;0,4;49;57;0,11;0,2;Tr;Tr;Tr;Tr;Tr;Tr;5,1;
445;Carnes e derivados;Toucinho, frito;6,3;696;2914;27,3;64,3;89;0;NA;0,7;9;9;0,01;94;0,9;124;170;0,1;0,8;Tr;Tr;Tr;Tr;Tr;Tr;5,03;
446;Leite e derivados;Bebida láctea, pêssego;87,7;55;230;2,1;1,9;5;7,6;0,3;0,7;88;8;Tr;63;Tr;46;62;0,02;0,2;Tr;;;0,03;0,14;Tr;0,33;2,1
447;Leite e derivados;Creme de Leite;70,9;221;926;1,5;22,5;66;4,5;NA;0,6;82;7;0,01;118;0,3;51;118;0,02;0,3;127;;;Tr;0,1;Tr;0;Tr
448;Leite e derivados;Iogurte, natural;90;51;215;4,1;3;13;1,9;NA;0,9;143;11;Tr;119;Tr;51;71;0,02;0,4;22;;;0,04;0,22;Tr;Tr;0,9
449;Leite e derivados;Iogurte, natural, desnatado;89,2;41;173;3,8;0,3;3;5,8;NA;0,9;156;11;Tr;109;Tr;59;182;Tr;0,5;*;;;Tr;0,22;Tr;Tr;0,3
450;Leite e derivados;Iogurte, sabor abacaxi;*;*;*;*;*;5;*;*;*;*;*;*;*;*;*;*;*;*;*;;;*;*;*;*;
451;Leite e derivados;Iogurte, sabor morango;84,6;69;291;2,7;2,3;7;9,7;0,2;0,6;101;8;Tr;73;Tr;37;52;0,02;0,3;27;;;0,03;0,12;0,02;Tr;Tr
452;Leite e derivados;Iogurte, sabor pêssego;85,1;67;283;2,5;2,3;8;9,4;0,7;0,6;95;7;Tr;65;0,1;36;52;0,02;0,3;21;;;0,02;0,1;Tr;0,38;Tr
453;Leite e derivados;Leite, condensado;27;312;1307;7,7;6,7;27;57;NA;1,6;246;21;Tr;187;0,1;93;328;0,03;0,9;52;;;0,06;0,33;0,57;Tr;2,1
454;Leite e derivados;Leite, de cabra;87,1;66;277;3,1;3,8;13;5,2;NA;0,9;112;9;Tr;113;0,1;73;139;0,04;0,4;34;;;Tr;0,14;Tr;Tr;Tr
455;Leite e derivados;Leite, de vaca, achocolatado;80,9;82;346;2,1;2,2;6;14,2;0,6;0,7;69;12;0,05;70;0,5;71;155;0,04;0,3;38;;;0,07;0,29;0,14;1,23;3,3
456;Leite e derivados;Leite, de vaca, desnatado, pó;3,1;361;1512;34,7;0,9;24;53;NA;8,2;1363;108;Tr;1673;0,9;431;1555;0,16;3,8;299;;;0,32;1,2;Tr;0,81;
457;Leite e derivados;Leite, de vaca, desnatado, UHT;*;*;*;*;*;3;*;NA;0,8;133;10;Tr;85;Tr;51;140;0,02;0,4;Tr;;;0,04;0,26;Tr;1,49;Tr
458;Leite e derivados;Leite, de vaca, integral;*;*;*;*;*;10;*;NA;0,8;122;9;Tr;81;Tr;63;133;0,02;0,4;20;;;0,04;0,24;Tr;1,52;Tr
459;Leite e derivados;Leite, de vaca, integral, pó;2,7;496;2077;25,4;26,9;85;39,2;NA;5,8;890;77;Tr;1242;0,5;323;1131;0,11;2,7;361;;;0,24;1,03;Tr;Tr;*
460;Leite e derivados;Leite, fermentado;81,9;69;291;1,9;0,1;1;15,7;NA;0,5;71;6;0,02;62;Tr;33;94;0,01;0,3;Tr;;;0,07;0,11;Tr;Tr;0,5
461;Leite e derivados;Queijo, minas, frescal;56,1;264;1105;17,4;20,2;61;3,2;NA;3;579;6;0,02;123;0,9;31;104;Tr;0,3;160;;;Tr;0,25;Tr;Tr;Tr
462;Leite e derivados;Queijo, minas, meia cura;47,1;320;1341;21,2;24,6;76;3,6;NA;3,5;695;27;0,02;402;0,2;501;119;0,07;2,7;111;;;0,03;0,32;Tr;Tr;
463;Leite e derivados;Queijo, mozarela;45,3;329;1380;22,6;25,2;79;3;NA;3,8;875;23;0,03;469;0,3;581;61;0,08;3,5;109;;;Tr;0,2;Tr;Tr;
464;Leite e derivados;Queijo, parmesão;21,2;452;1895;35,6;33,5;105;1,7;NA;8;991;33;0,05;744;0,5;1844;96;0,17;4,4;66;;;Tr;0,44;0,23;Tr;Tr
465;Leite e derivados;Queijo, pasteurizado;54,4;303;1268;9,4;27,4;82;5,7;NA;3,1;323;16;0,01;577;0,3;780;193;0,05;1,3;57;;;Tr;0,2;Tr;Tr;Tr
466;Leite e derivados;Queijo, petit suisse, morango;72,2;121;506;5,8;2,8;12;18,5;NA;0,7;730;26;0,02;448;0,1;412;121;0,01;2,7;272;;;0,22;0,27;0,21;2,68;Tr
467;Leite e derivados;Queijo, prato;42,4;359;1505;22,7;29,1;90;1,9;NA;3,9;939;28;0,03;460;0,3;579;73;0,1;3,5;122;;;Tr;0,22;Tr;Tr;
468;Leite e derivados;Queijo, requeijão, cremoso;62,5;256;1073;9,6;23,4;73;2,4;NA;2;259;11;0,02;447;0,1;557;93;0,04;1,3;194;;;Tr;0,19;Tr;Tr;Tr
469;Leite e derivados;Queijo, ricota;73,6;139;584;12,6;8,1;48;3,8;NA;1,9;253;11;Tr;161;0,1;282;112;Tr;0,5;52;;;Tr;0,15;Tr;Tr;Tr
470;Bebidas (alcoólicas e não alcoólicas);Bebida isotônica, sabores variados;93,5;25;107;0;0;NA;6,4;NA;0,1;1;Tr;Tr;8;0,7;44;13;Tr;Tr;NA;;;;;;;
471;Bebidas (alcoólicas e não alcoólicas);Café, infusão 10%;97,4;9;37;0,7;0,1;NA;1,5;NA;0,4;3;9;0,04;9;Tr;1;155;0,01;Tr;NA;;;;;;;
472;Bebidas (alcoólicas e não alcoólicas);Cana, aguardente 1;;215;902;;;NA;;NA;;Tr;Tr;Tr;Tr;Tr;3;Tr;0,06;Tr;NA;;;Tr;Tr;Tr;Tr;
473;Bebidas (alcoólicas e não alcoólicas);Cana, caldo de;81,7;65;273;Tr;Tr;NA;18,2;0,1;0,1;9;11;0,21;4;0,8;Tr;17;0,01;0,1;NA;;;Tr;Tr;0,03;Tr;2,8
474;Bebidas (alcoólicas e não alcoólicas);Cerveja, pilsen 2;92,4;40;170;0,6;Tr;NA;3,3;NA;0,1;4;6;0,01;19;Tr;4;29;Tr;Tr;NA;;;Tr;Tr;0,14;2,92;Tr
475;Bebidas (alcoólicas e não alcoólicas);Chá, erva-doce, infusão 5%;99,6;1;5;0;0;NA;0,4;NA;0;1;0;0,01;0;Tr;0;9;0,01;Tr;NA;;;1,23;0,23; ; ; 
476;Bebidas (alcoólicas e não alcoólicas);Chá, mate, infusão 5%;99,3;2;11;0;0,1;NA;0,6;NA;0;0;2;0,27;Tr;Tr;Tr;5;Tr;Tr;NA;;;0,89;Tr; ; ; 
477;Bebidas (alcoólicas e não alcoólicas);Chá, preto, infusão 5%;99,4;2;9;0;0;NA;0,6;NA;0;0;0;0,09;1;Tr;Tr;13;Tr;Tr;NA;;;3,11;0,48; ; ; 
478;Bebidas (alcoólicas e não alcoólicas);Coco, água de;94,3;21;89;0;0;NA;5,3;0,1;0,5;18;5;0,25;3;Tr;1;161;Tr;Tr;NA;;;0,01;Tr;Tr;Tr;2,4
479;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo água tônica;92;30;128;0;0;NA;8;NA;0;1;Tr;Tr;0;Tr;8;1;Tr;Tr;NA;;;;;;;
480;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo cola;91,3;33;140;0;0;NA;8,7;NA;0,1;1;Tr;Tr;16;Tr;7;0;Tr;Tr;NA;;;;;;;
481;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo guaraná;90;38;161;0;0;NA;10;NA;0;1;Tr;Tr;Tr;Tr;9;1;Tr;Tr;NA;;;;;;;
482;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo laranja;88,2;45;190;0;0;NA;11,8;NA;0;2;1;Tr;1;Tr;9;15;Tr;Tr;NA;;;;;;;
483;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo limão;89,7;39;166;0;0;NA;10,3;NA;0;1;0;Tr;Tr;Tr;8;4;Tr;Tr;NA;;;;;;;
484;Ovos e derivados;Omelete, de queijo;60,5;268;1121;15,6;22;383;0,4;NA;1,5;165;14;0,03;313;1,4;216;126;0,03;1,4;58;;;0,03;0,24;Tr;Tr;Tr
485;Ovos e derivados;Ovo, de codorna, inteiro, cru;71,7;176;740;13,7;12,7;568;0,8;NA;1,2;78;11;Tr;279;3,3;128;78;0,04;2,1;305;;;0,11;0,12;Tr;0,97; 
486;Ovos e derivados;Ovo, de galinha, clara, cozida/10minutos;85,2;59;248;13,4;0,1;NA;0;NA;0,7;6;11;Tr;15;0,1;180;145;0,03;Tr;NA;;;Tr;0,08;Tr;Tr; 
487;Ovos e derivados;Ovo, de galinha, gema, cozida/10minutos;50;352;1475;15,9;30,8;1272;1,6;NA;1,7;114;9;0,06;385;2,9;44;87;Tr;2,9;148;;;0,18;0,22;Tr;Tr; 
488;Ovos e derivados;Ovo, de galinha, inteiro, cozido/10minutos;75,8;145;609;13,3;9,5;396;0,6;NA;0,8;49;11;0,02;184;1,5;145;138;0,04;1,2;32;;;0,08;0,3;Tr;Tr; 
489;Ovos e derivados;Ovo, de galinha, inteiro, cru;75,6;143;598;13;8,9;355;1,6;NA;0,8;42;12;Tr;164;1,6;167;150;0,06;1,1;78;;;0,07;0,58;Tr;0,75; 
490;Ovos e derivados;Ovo, de galinha, inteiro, frito;63,5;240;1004;15,6;18,6;516;1,2;NA;1,1;72;16;0,03;422;2,1;166;184;0,04;1,5;93;;;0,06;0,32;Tr;Tr;Tr
491;Produtos açucarados;Achocolatado, pó;1,1;401;1677;4,2;2,2;Tr;91,2;3,9;1,4;44;76;0,55;199;5,4;64;496;0,56;1;795;;;1,38;1,02;1,52;4,99;Tr
492;Produtos açucarados;Açúcar, cristal;0,1;386;1619;0,3;Tr;NA;99,6;NA;Tr;7;1; ;Tr;0,2;Tr;2; Tr;Tr;NA;;;;;;;
493;Produtos açucarados;Açúcar, mascavo;3,3;368;1542;0,8;0,1;NA;94,5;NA;1,4;126;79;2,03;38;8,3;25;521;0,17;0,5;NA;;;Tr;0,03;Tr;Tr;Tr
494;Produtos açucarados;Açúcar, refinado;0,1;386;1617;0,3;Tr;NA;99,5;NA;Tr;3;0; ;Tr;0,1;12;6; Tr;Tr;NA;;;;;;;
495;Produtos açucarados;Chocolate, ao leite;1,3;539;2257;7,2;30,3;16;59,6;2,2;1,7;191;57;0,3;212;1,6;77;354;0,31;1,1;Tr; ; ;0,05;0,22;0,59;0,63;Tr
496;Produtos açucarados;Chocolate, ao leite, com castanha do Pará;1,2;558;2338;7,4;34,2;15;55,4;2,5;1,8;171;79;0,36;302;1,5;64;430;0,45;1,3;36;;;0,04;0,24;Tr;1,37;1,4
497;Produtos açucarados;Chocolate, ao leite, dietético;1,7;556;2329;6,9;33,8;12;56,3;2,8;1,3;187;67;0,41;276;3,3;84;458;0,43;1,1;7;;;0,31;0,25;Tr;0,79;2
498;Produtos açucarados;Chocolate, meio amargo;1;474;1987;4,9;29,9;2;62,4;4,9;1,8;44;107;0,83;219;3,6;8;431;0,77;1,5;Tr;;;0,2;0,04;Tr;1,06;2,1
499;Produtos açucarados;Cocada branca;3,4;448;1877;1,1;13,6;NA;81,4;3,6;0,5;7;17;0,36;396;1,2;28;183;0,2;0,4;NA;;;Tr;Tr;0,16;0,47;Tr
500;Produtos açucarados;Doce, de abóbora, cremoso;43,9;198;832;0,9;0,2;NA;54,6;2,3;0,4;12;5;0,01;13;0,9;Tr;136;Tr;Tr;NA;;;0,08;Tr;0,04;Tr;0,1
501;Produtos açucarados;Doce, de leite, cremoso;27,5;306;1281;5,5;6;20;59,5;NA;1,5;195;16;0,01;140;0,1;120;259;0,02;0,5;35;35;35;0,05;0,26;Tr;Tr;Tr
502;Produtos açucarados;Geléia, mocotó, natural;73,5;106;443;2,1;0,1;Tr;24,2;NA;0,1;3;0;Tr;Tr;0,1;42;2;Tr;Tr;Tr; ; ;0,19;Tr;0,22;Tr;Tr
503;Produtos açucarados;Glicose de milho;20,4;292;1222;0;0;NA;79,4;NA;0,2;5;1;Tr;4;0,1;58;5;Tr;Tr;NA;;; ; ; ; ; 
504;Produtos açucarados;Maria mole;21,6;301;1260;3,8;0,2;NA;73,6;0,7;0,9;13;6;0,06;4;0,4;15;23;0,2;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
505;Produtos açucarados;Maria mole, coco queimado;20,7;306;1282;3,9;0,1;NA;75,1;0,6;0,2;19;5;0,09;5;0,5;14;35;0,03;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
506;Produtos açucarados;Marmelada;28,5;257;1076;0,4;0,1;NA;70,8;4,1;0,2;11;5;0,06;19;0,7;10;83;0,09;0,1;NA;;;Tr;Tr;Tr;Tr;Tr
507;Produtos açucarados;Mel, de abelha;15,8;309;1293;0;0;NA;84;NA;0,1;10;5;0,38;3;0,3;6;99;Tr;0,2;NA;;;0,11;Tr;Tr;Tr;0,7
508;Produtos açucarados;Melado;22,1;296;1240;0;0;NA;76,6;NA;1,3;102;115;2,62;73;5,4;4;395;0,84;0,3;NA;;;Tr;0,05;0,2;Tr;Tr
509;Produtos açucarados;Quindim;23,9;411;1721;4,7;24,4;271;46,3;3,2;0,6;37;14;0,25;167;1,4;27;111;0,1;1,1;75;;;Tr;0,04;0,04;1,14;Tr
510;Produtos açucarados;Rapadura;7,1;351;1472;1;0,1;NA;90,8;NA;1,1;30;47;1,66;21;4,4;21;458;0,17;0,6;NA;;;Tr;Tr;0,04;Tr;Tr
511;Miscelâneas;Café, pó, torrado;2,9;418;1751;14,7;11,9;NA;65,8;51,2;4,7;106;165;2,58;169;8,1;1;1608;1,3;0,5;NA;;;Tr;Tr;Tr;11,89;Tr
512;Miscelâneas;Capuccino, pó;2,6;417;1746;11,3;8,6;28;73,6;2,4;3,8;466;70;0,17;357;2,3;382;885;Tr;1,1;51;;;Tr;1,41;Tr;Tr;Tr
513;Miscelâneas;Fermento em pó, químico;7,1;89;375;0,5;0,1;NA;43,9;NA;48,5; ; ; ; ; ;10052; ; ; ;NA;;; ; ; ; ; 
514;Miscelâneas;Fermento, biológico, levedura, tablete;71,9;89;375;17;1,5;NA;7,7;4,2;1,9;18;38;0,2;418;2,6;39;576;0,29;11;NA;;;0,3;0,36;Tr;Tr;Tr
515;Miscelâneas;Gelatina, sabores variados, pó;1,2;380;1590;8,9;Tr;NA;89,2;NA;0,6;26;2;0,03;1;0,3;234;7;Tr;Tr;NA;;;Tr;Tr;Tr;Tr;40
516;Miscelâneas;Sal, dietético;0,6;NA;NA;NA;NA;NA;NA;NA;99,4;;;;;;23431;20467;;;NA;;;;;;;
517;Miscelâneas;Sal, grosso;0,4;NA;NA;NA;NA;NA;NA;NA;;;;;;;39943;;;;NA;;;;;;;
